Data1,Data2,Data3
-0.04797867935829493,-0.023202514238533527,0.0
-0.00825142581200367,0.0012900683194552185,0.01
0.02423258254457732,0.02233632932052385,0.02
0.06400696240481701,0.056685491590093444,0.03
0.09951234269112853,0.08774485258209407,0.04
0.12296999066718411,0.11360621837377277,0.05
0.14721453497154718,0.1398030998634929,0.06
0.1565727223072762,0.15570519632111807,0.07
0.17493699464320547,0.17871949917188476,0.08
0.18765391097353598,0.19157518019697858,0.09
0.20502717671043216,0.21467898318047568,0.1
0.19260971078658784,0.22544758666269646,0.11
0.20142574721952736,0.2259859828775992,0.12
0.206504148393016,0.21857753835064303,0.13
0.22376111209130076,0.20354474415967777,0.14
0.23882318613293724,0.18337739373227227,0.15
0.25317914116659945,0.18854137584246564,0.16
0.2524751262438654,0.2039442447374062,0.17
0.2616675006143778,0.2340300767560273,0.18
0.2447359900233887,0.24270092057544038,0.19
0.22428538787161004,0.23640889058301562,0.2
0.20193986745289003,0.20427401359634287,0.21
0.20733164941445512,0.18681917822870978,0.22
0.21161536703523148,0.17511953901054986,0.23
0.2358762870325495,0.19741927449238497,0.24
0.238125120832805,0.20498089478061776,0.25
0.25020187502658003,0.21657686956371092,0.26
0.2294414405283422,0.20460339142637463,0.27
0.20233996247579134,0.1995032289117792,0.28
0.13910751350853637,0.13470348030319912,0.29
0.3556161393918909,0.3789036341772921,0.3
0.3556161393918909,0.3789036341772921,0.3
0.17087005514732692,0.16964260662117744,0.3062857142857143
0.08726909937818826,0.10938843776480461,0.31257142857142856
-0.17111855953326952,-0.13190739001096752,0.31885714285714284
-0.71625586892039,-0.6918310980296237,0.3251428571428571
-1.8995860079342897,-2.0534456975783426,0.3314285714285714
2.1136530153574333,2.131635579102381,0.3377142857142857
-0.4623467517663896,-0.7316861998646823,0.344
-0.4623467517663896,-0.7316861998646823,0.344
-1.0905023028665062,-1.3335760988723162,0.3496666666666666
-0.9686929885829106,-1.1625219722988702,0.3553333333333333
-0.8021348601561036,-0.9532635864786572,0.361
-0.6442836973650439,-0.7617296388016949,0.36666666666666664
-0.490591499475305,-0.5693395684520033,0.3723333333333333
-0.3364163722713184,-0.39054639034212535,0.37799999999999995
-0.1817826525226729,-0.21334933862041702,0.3836666666666666
-0.024983035287312733,-0.038266481096884866,0.3893333333333333
0.2912810646893339,0.17851766830094984,0.39499999999999996
0.2912810646893339,0.17851766830094984,0.39499999999999996
0.2902248488248427,0.16658678279598813,0.40499999999999997
0.23897422623272213,0.1405471855697477,0.415
0.2079293425227681,0.11769132071838029,0.42499999999999993
0.18137433410495446,0.10314799700773121,0.43499999999999994
0.16098178652954176,0.0846676255126187,0.44499999999999995
0.14541591758435338,0.07051995577086773,0.45499999999999996
0.1330351204177922,0.06573194308762598,0.46499999999999997
0.12498086430338427,0.05788458522686378,0.475
0.11910056395458081,0.05511088726309479,0.48499999999999993
0.11885498707426882,0.05356730090441639,0.49499999999999994
0.12251662454986423,0.05359436632360175,0.5049999999999999
0.12586345291871207,0.056196412962310066,0.5149999999999999
0.12680761739080088,0.061497928825754125,0.5249999999999999
0.12418518240908422,0.06916240952618082,0.5349999999999999
0.1172349203144096,0.0784126232325896,0.5449999999999999
0.1058114564113699,0.08483725486800793,0.5549999999999999
0.10198983519762911,0.08792338203281935,0.565
0.10198983519762911,0.08792338203281935,0.565
0.10685270628235141,0.0900740458749403,0.575
0.10975264939697627,0.09060162942799424,0.585
0.11200234854975119,0.09252287808402034,0.595
0.11328677124836525,0.09489146716274342,0.605
0.11187457830235296,0.09223232027613147,0.6149999999999999
0.10762572233977448,0.08408313810693807,0.6249999999999999
0.09916799521116922,0.07317188397976787,0.6349999999999999
0.08840419623843043,0.06235815246100026,0.6449999999999999
0.0807261465753174,0.05270806247392793,0.6549999999999999
0.07591728087465119,0.04404661796542235,0.6649999999999999
0.0696539821794177,0.03637507856146185,0.6749999999999999
0.061133319595439876,0.029331776436585535,0.6849999999999999
0.050912353501567,0.022894174479268767,0.6949999999999998
0.03962518700916065,0.016934166450412014,0.7049999999999998
0.02794249739940543,0.01160740889958243,0.7149999999999999
0.016409174604793967,0.006937849465517983,0.7249999999999999
0.005338550929385275,0.0023565737947304375,0.7349999999999999
0.005338550929385275,0.0023565737947304375,0.7449999999999999
